prompt_id,source_pair_id,category,task,model,temperature,seed,baseline_input_tokens,optimized_input_tokens,input_token_reduction,input_token_reduction_pct,baseline_output_tokens,optimized_output_tokens,output_token_reduction,output_token_reduction_pct,baseline_total_tokens,optimized_total_tokens,total_token_reduction,total_token_reduction_pct,baseline_wall_time_s,optimized_wall_time_s,wall_time_reduction_s,wall_time_reduction_pct,baseline_ollama_total_duration_s,optimized_ollama_total_duration_s,ollama_duration_reduction_pct,optimized_used_fewer_input_tokens,optimized_used_fewer_output_tokens,optimized_used_fewer_total_tokens,optimized_was_faster
P0017,1.17,assignment_writing,Create a project risk assessment table for a project management assignment.,gemma3:4b,0,42,84,67,17,20.24,1032,900,132,12.79,1116,967,149,13.35,55.644623,48.44793,7.196693,12.93,53.589506,46.417321,13.38,True,True,True,True
P0018,1.18,assignment_writing,Write the methodology section for a sociology survey study.,gemma3:4b,0,42,85,67,18,21.18,567,498,69,12.17,652,565,87,13.34,31.322963,27.623545,3.699418,11.81,29.280414,25.594538,12.59,True,True,True,True
P0019,1.19,assignment_writing,Write conclusions and recommendations for a marketing assignment.,gemma3:4b,0,42,84,62,22,26.19,527,453,74,14.04,611,515,96,15.71,29.217387,25.231321,3.986066,13.64,27.204619,23.194167,14.74,True,True,True,True
P0020,1.20,assignment_writing,Produce assignment front matter including declaration and acknowledgement.,gemma3:4b,0,42,82,56,26,31.71,762,657,105,13.78,844,713,131,15.52,41.353564,35.595542,5.758022,13.92,39.323152,33.576192,14.61,True,True,True,True
P0021,2.1,exam_preparation,Generate practice multiple-choice questions on database normalization for a DBMS exam.,gemma3:4b,0,42,93,64,29,31.18,1266,1422,-156,-12.32,1359,1486,-127,-9.35,70.21109,76.573685,-6.362595,-9.06,68.154741,74.529881,-9.35,True,False,False,False
P0022,2.2,exam_preparation,Create short-answer theory questions on CPU scheduling for an Operating Systems exam.,gemma3:4b,0,42,72,57,15,20.83,722,679,43,5.96,794,736,58,7.3,39.167714,36.797156,2.370558,6.05,37.134014,34.750429,6.42,True,True,True,True
P0023,2.3,exam_preparation,Create step-by-step mathematical derivation problems for an Algorithms exam.,gemma3:4b,0,42,77,57,20,25.97,1130,1077,53,4.69,1207,1134,73,6.05,60.817873,57.740961,3.076912,5.06,58.787859,55.682451,5.28,True,True,True,True
P0024,2.4,exam_preparation,Create scenario-based troubleshooting exam questions for a Computer Networks exam.,gemma3:4b,0,42,64,52,12,18.75,1657,1677,-20,-1.21,1721,1729,-8,-0.46,89.355456,90.275666,-0.92021,-1.03,87.300714,88.236241,-1.07,True,False,False,False
P0025,2.5,exam_preparation,Generate study flashcard pairs for core concepts in an Object-Oriented Programming exam.,gemma3:4b,0,42,74,64,10,13.51,797,508,289,36.26,871,572,299,34.33,43.37432,28.016203,15.358117,35.41,41.332372,26.003452,37.09,True,True,True,True
P0026,2.6,exam_preparation,Generate numerical practice problems on paging and TLB for an Operating Systems exam.,gemma3:4b,0,42,82,66,16,19.51,1121,1746,-625,-55.75,1203,1812,-609,-50.62,60.472986,94.460384,-33.987398,-56.2,58.422262,92.439693,-58.23,True,False,False,False
P0027,2.7,exam_preparation,Produce a past-paper style long question with a marking scheme for a DBMS exam.,gemma3:4b,0,42,88,75,13,14.77,1016,992,24,2.36,1104,1067,37,3.35,55.715949,53.767137,1.948812,3.5,53.676467,51.702219,3.68,True,True,True,True
P0028,2.8,exam_preparation,Create a one-page revision cheat sheet on the OSI model for a networks exam.,gemma3:4b,0,42,91,66,25,27.47,553,476,77,13.92,644,542,102,15.84,30.89582,26.621328,4.274492,13.84,28.866098,24.57421,14.87,True,True,True,True
P0029,2.9,exam_preparation,Create memory aids and mnemonics for an anatomy exam.,gemma3:4b,0,42,82,61,21,25.61,719,625,94,13.07,801,686,115,14.36,39.380708,34.246355,5.134353,13.04,37.328699,32.194841,13.75,True,True,True,True
P0030,2.10,exam_preparation,Generate a true or false quiz with justifications for a software testing exam.,gemma3:4b,0,42,78,60,18,23.08,530,445,85,16.04,608,505,103,16.94,29.568142,25.027028,4.541114,15.36,27.501471,22.98779,16.41,True,True,True,True
P0031,2.11,exam_preparation,Build a timed mock test with time allocation for a data structures exam.,gemma3:4b,0,42,88,64,24,27.27,1147,956,191,16.65,1235,1020,215,17.41,62.232135,54.847901,7.384234,11.87,60.183673,52.7555,12.34,True,True,True,True
P0032,2.12,exam_preparation,Create a quick-reference comparison sheet of commonly confused OS concepts.,gemma3:4b,0,42,77,62,15,19.48,680,377,303,44.56,757,439,318,42.01,42.394792,23.176336,19.218456,45.33,40.358961,21.129195,47.65,True,True,True,True
P0033,2.13,exam_preparation,Create an error-spotting exercise on SQL queries for a database exam.,gemma3:4b,0,42,79,59,20,25.32,1242,1085,157,12.64,1321,1144,177,13.4,74.489669,65.278243,9.211426,12.37,72.455363,63.232275,12.73,True,True,True,True
P0034,2.14,exam_preparation,Generate diagram labelling questions for a computer architecture exam.,gemma3:4b,0,42,85,69,16,18.82,1481,1159,322,21.74,1566,1228,338,21.58,89.061919,69.010055,20.051864,22.51,87.000101,66.981196,23.01,True,True,True,True
P0035,2.15,exam_preparation,Build a seven-day spaced revision timetable for a final exam.,gemma3:4b,0,42,88,72,16,18.18,1313,1229,84,6.4,1401,1301,100,7.14,77.971504,72.232707,5.738797,7.36,75.948302,70.179084,7.6,True,True,True,True
P0036,2.16,exam_preparation,Generate viva voce practice questions for a final year project defence.,gemma3:4b,0,42,87,44,43,49.43,1550,1103,447,28.84,1637,1147,490,29.93,92.512622,64.27874,28.233882,30.52,90.4614,62.244969,31.19,True,True,True,True
P0037,2.17,exam_preparation,Produce an annotated formula sheet for a statistics exam.,gemma3:4b,0,42,84,53,31,36.9,1283,1167,116,9.04,1367,1220,147,10.75,75.89605,72.035127,3.860923,5.09,73.839142,69.97877,5.23,True,True,True,True
P0038,2.18,exam_preparation,Provide a fully worked subnetting example for a networking exam.,gemma3:4b,0,42,96,75,21,21.88,1556,1256,300,19.28,1652,1331,321,19.43,84.767955,68.402148,16.365807,19.31,82.739764,66.34647,19.81,True,True,True,True
P0039,2.19,exam_preparation,List common exam mistakes and how to avoid them for a thermodynamics exam.,gemma3:4b,0,42,83,56,27,32.53,1297,1489,-192,-14.8,1380,1545,-165,-11.96,70.437716,80.536976,-10.09926,-14.34,68.375468,78.479303,-14.78,True,False,False,False
P0040,2.20,exam_preparation,Create practice coding exam questions with test cases for a programming exam.,gemma3:4b,0,42,82,63,19,23.17,894,985,-91,-10.18,976,1048,-72,-7.38,48.583675,53.233086,-4.649411,-9.57,46.545709,51.203992,-10.01,True,False,False,False
P0041,3.1,programming_help,Debug a Python function that raises an IndexError inside a loop.,gemma3:4b,0,42,92,56,36,39.13,839,486,353,42.07,931,542,389,41.78,45.909107,27.195947,18.71316,40.76,43.856818,25.133179,42.69,True,True,True,True
P0042,3.2,programming_help,Fix a JavaScript function that returns undefined because of an unawaited promise.,gemma3:4b,0,42,84,51,33,39.29,1207,886,321,26.59,1291,937,354,27.42,66.74265,47.742446,19.000204,28.47,64.717902,45.727207,29.34,True,True,True,True
P0043,3.3,programming_help,Write a SQL query joining three tables with aggregation.,gemma3:4b,0,42,96,80,16,16.67,1371,409,962,70.17,1467,489,978,66.67,75.647609,23.546271,52.101338,68.87,73.572371,21.478001,70.81,True,True,True,True
P0044,3.4,programming_help,Refactor a long function into smaller single-responsibility functions.,gemma3:4b,0,42,88,73,15,17.05,1708,1408,300,17.56,1796,1481,315,17.54,94.64204,78.04483,16.59721,17.54,92.575442,75.986879,17.92,True,True,True,True
P0045,3.5,programming_help,Write unit tests for a given Python function.,gemma3:4b,0,42,94,59,35,37.23,1651,1128,523,31.68,1745,1187,558,31.98,91.693702,63.656736,28.036966,30.58,89.636361,61.587557,31.29,True,True,True,True
P0046,3.6,programming_help,Fix a React component that re-renders infinitely.,gemma3:4b,0,42,84,60,24,28.57,1277,931,346,27.09,1361,991,370,27.19,69.277138,50.354526,18.922612,27.31,67.237605,48.320529,28.13,True,True,True,True
P0047,3.7,programming_help,Implement binary search handling edge cases correctly.,gemma3:4b,0,42,78,59,19,24.36,1099,1042,57,5.19,1177,1101,76,6.46,59.860731,56.218139,3.642592,6.09,57.824854,54.174862,6.31,True,True,True,True
P0048,3.8,programming_help,Replace a slow Python loop with vectorised pandas operations.,gemma3:4b,0,42,81,56,25,30.86,846,810,36,4.26,927,866,61,6.58,46.137123,43.929725,2.207398,4.78,44.099782,41.903307,4.98,True,True,True,True
P0049,3.9,programming_help,Write a Flask REST endpoint returning JSON with error handling.,gemma3:4b,0,42,89,70,19,21.35,994,816,178,17.91,1083,886,197,18.19,56.924328,44.930798,11.99353,21.07,54.875648,42.886161,21.85,True,True,True,True
P0050,3.10,programming_help,Explain and correct a faulty regular expression for email validation.,gemma3:4b,0,42,217,196,21,9.68,1521,1284,237,15.58,1738,1480,258,14.84,86.826917,71.773917,15.053,17.34,84.793208,69.723453,17.77,True,True,True,True
P0051,3.11,programming_help,Resolve a Git merge conflict step by step.,gemma3:4b,0,42,83,62,21,25.3,1228,1106,122,9.93,1311,1168,143,10.91,67.976394,62.090106,5.886288,8.66,65.921149,60.038329,8.92,True,True,True,True
P0052,3.12,programming_help,Write a Dockerfile for a Python application.,gemma3:4b,0,42,84,62,22,26.19,1639,1232,407,24.83,1723,1294,429,24.9,90.543321,68.700854,21.842467,24.12,88.477772,66.657754,24.66,True,True,True,True
P0053,3.13,programming_help,Optimise a slow SQL query using indexing and rewriting.,gemma3:4b,0,42,381,354,27,7.09,1331,1289,42,3.16,1712,1643,69,4.03,77.604137,78.107375,-0.503238,-0.65,75.570637,76.069155,-0.66,True,True,True,False
P0054,3.14,programming_help,Add robust exception handling to Python file input and output.,gemma3:4b,0,42,85,66,19,22.35,1065,1099,-34,-3.19,1150,1165,-15,-1.3,59.616989,60.873672,-1.256683,-2.11,57.567008,58.833981,-2.2,True,False,False,False
P0055,3.15,programming_help,Write a Java class demonstrating proper encapsulation.,gemma3:4b,0,42,84,52,32,38.1,1141,948,193,16.91,1225,1000,225,18.37,64.319561,52.088265,12.231296,19.02,62.270319,50.033368,19.65,True,True,True,True
P0056,3.16,programming_help,Diagnose and fix a segmentation fault caused by an uninitialised pointer in C.,gemma3:4b,0,42,77,61,16,20.78,1256,1109,147,11.7,1333,1170,163,12.23,70.343595,61.022586,9.321009,13.25,68.283598,58.966811,13.64,True,True,True,True
P0057,3.17,programming_help,Compare recursive and iterative implementations of the same algorithm.,gemma3:4b,0,42,72,48,24,33.33,920,969,-49,-5.33,992,1017,-25,-2.52,50.778647,53.104065,-2.325418,-4.58,48.72119,51.067185,-4.82,True,False,False,False
P0058,3.18,programming_help,Add server-side input validation to a form handler.,gemma3:4b,0,42,85,66,19,22.35,2101,1629,472,22.47,2186,1695,491,22.46,115.976553,90.336477,25.640076,22.11,113.908663,88.280745,22.5,True,True,True,True
P0059,3.19,programming_help,Generate a labelled matplotlib chart from a dataframe.,gemma3:4b,0,42,95,52,43,45.26,978,831,147,15.03,1073,883,190,17.71,52.855812,44.807964,8.047848,15.23,50.819997,42.769969,15.84,True,True,True,True
P0060,3.20,programming_help,Interpret a compiler error message and correct the code.,gemma3:4b,0,42,83,67,16,19.28,1088,990,98,9.01,1171,1057,114,9.74,58.900134,53.444773,5.455361,9.26,56.85432,51.40902,9.58,True,True,True,True
P0061,4.1,concept_learning,Explain recursion with an analogy and a worked trace.,gemma3:4b,0,42,87,54,33,37.93,1408,1187,221,15.7,1495,1241,254,16.99,76.437497,63.808696,12.628801,16.52,74.404754,61.778035,16.97,True,True,True,True
P0062,4.2,concept_learning,Explain database normalization and when denormalization is appropriate.,gemma3:4b,0,42,85,63,22,25.88,1445,1052,393,27.2,1530,1115,415,27.12,78.336177,56.987976,21.348201,27.25,76.296774,54.965864,27.96,True,True,True,True
P0063,4.3,concept_learning,Explain how HTTPS protects data in transit.,gemma3:4b,0,42,90,64,26,28.89,400,354,46,11.5,490,418,72,14.69,22.967968,20.315934,2.652034,11.55,20.923385,18.275177,12.66,True,True,True,True
P0064,4.4,concept_learning,Explain Big-O notation using everyday comparisons.,gemma3:4b,0,42,91,59,32,35.16,1200,1358,-158,-13.17,1291,1417,-126,-9.76,64.720768,73.359917,-8.639149,-13.35,62.671394,71.319298,-13.8,True,False,False,False
P0065,4.5,concept_learning,"Explain the relationship between AI, machine learning and deep learning.",gemma3:4b,0,42,78,53,25,32.05,890,902,-12,-1.35,968,955,13,1.34,48.296821,48.595146,-0.298325,-0.62,46.2575,46.54751,-0.63,True,False,True,False
P0066,4.6,concept_learning,Explain what an API is using an analogy and a concrete request example.,gemma3:4b,0,42,87,51,36,41.38,1068,816,252,23.6,1155,867,288,24.94,57.849106,43.994878,13.854228,23.95,55.781388,41.966886,24.77,True,True,True,True
P0067,4.7,concept_learning,Explain the difference between containers and virtual machines.,gemma3:4b,0,42,89,51,38,42.7,360,316,44,12.22,449,367,82,18.26,20.846706,18.293156,2.55355,12.25,18.817483,16.257329,13.61,True,True,True,True
P0068,4.8,concept_learning,Explain how DNS resolves a domain name to an IP address.,gemma3:4b,0,42,81,63,18,22.22,1245,1063,182,14.62,1326,1126,200,15.08,67.404665,57.206335,10.19833,15.13,65.357448,55.156959,15.61,True,True,True,True
P0069,4.9,concept_learning,Explain ACID properties using a bank transfer example.,gemma3:4b,0,42,77,55,22,28.57,986,844,142,14.4,1063,899,164,15.43,53.239472,45.476484,7.762988,14.58,51.228358,43.428938,15.22,True,True,True,True
P0070,4.10,concept_learning,Explain gradient descent intuitively before the mathematics.,gemma3:4b,0,42,82,61,21,25.61,749,911,-162,-21.63,831,972,-141,-16.97,40.825247,49.112697,-8.28745,-20.3,38.786762,47.079361,-21.38,True,False,False,False
P0071,4.11,concept_learning,Explain the four pillars of object-oriented programming with one running example.,gemma3:4b,0,42,82,35,47,57.32,1430,1127,303,21.19,1512,1162,350,23.15,77.364231,61.83668,15.527551,20.07,75.33576,59.772689,20.66,True,True,True,True
P0072,4.12,concept_learning,Explain the TCP three-way handshake and its purpose.,gemma3:4b,0,42,80,56,24,30.0,960,1032,-72,-7.5,1040,1088,-48,-4.62,53.18048,56.795259,-3.614779,-6.8,51.125258,54.715325,-7.02,True,False,False,False
P0073,4.13,concept_learning,Explain a practical Git branching workflow for a student team.,gemma3:4b,0,42,83,66,17,20.48,1265,1436,-171,-13.52,1348,1502,-154,-11.42,69.949059,82.645273,-12.696214,-18.15,67.888897,80.610435,-18.74,True,False,False,False
P0074,4.14,concept_learning,Explain caching and why cache invalidation is difficult.,gemma3:4b,0,42,82,65,17,20.73,1191,986,205,17.21,1273,1051,222,17.44,64.387739,53.578507,10.809232,16.79,62.347637,51.546957,17.32,True,True,True,True
P0075,4.15,concept_learning,Explain public key cryptography and how it enables digital signatures.,gemma3:4b,0,42,88,64,24,27.27,995,966,29,2.91,1083,1030,53,4.89,53.932057,52.240802,1.691255,3.14,51.893718,50.204346,3.26,True,True,True,True
P0076,4.16,concept_learning,Explain deadlock using the dining philosophers scenario.,gemma3:4b,0,42,73,55,18,24.66,1037,755,282,27.19,1110,810,300,27.03,58.034397,40.870376,17.164021,29.58,55.981348,38.799787,30.69,True,True,True,True
P0077,4.17,concept_learning,Explain the difference between a compiler and an interpreter.,gemma3:4b,0,42,77,55,22,28.57,1041,801,240,23.05,1118,856,262,23.43,58.325798,44.514853,13.810945,23.68,56.249136,42.463093,24.51,True,True,True,True
P0078,4.18,concept_learning,Explain overfitting and how to detect it.,gemma3:4b,0,42,84,69,15,17.86,1120,1034,86,7.68,1204,1103,101,8.39,69.616121,58.046818,11.569303,16.62,67.569695,55.974163,17.16,True,True,True,True
P0079,4.19,concept_learning,Explain load balancing and common distribution algorithms.,gemma3:4b,0,42,76,53,23,30.26,1000,1125,-125,-12.5,1076,1178,-102,-9.48,59.537909,72.860779,-13.32287,-22.38,57.496279,70.794387,-23.13,True,False,False,False
P0080,4.20,concept_learning,Explain green computing and how data centre efficiency is measured.,gemma3:4b,0,42,90,68,22,24.44,949,888,61,6.43,1039,956,83,7.99,63.749987,59.67288,4.077107,6.4,61.690831,57.599522,6.63,True,True,True,True
P0081,5.1,research_paper_summarization,Summarise a paper abstract into plain language for a literature review.,gemma3:4b,0,42,953,211,742,77.86,151,105,46,30.46,1104,316,788,71.38,20.925681,10.74079,10.184891,48.67,18.911606,8.712913,53.93,True,True,True,True
P0082,5.2,research_paper_summarization,Extract a paper's methodology into a structured bullet summary.,gemma3:4b,0,42,939,224,715,76.14,576,254,322,55.9,1515,478,1037,68.45,46.489902,19.839168,26.650734,57.33,44.46063,17.764086,60.05,True,True,True,True
P0083,5.3,research_paper_summarization,Condense a paper's findings into a literature review table row.,gemma3:4b,0,42,868,441,427,49.19,132,114,18,13.64,1000,555,445,44.5,17.204729,11.949084,5.255645,30.55,15.156338,9.894074,34.72,True,True,True,True
P0084,5.4,research_paper_summarization,Identify the research gap a paper claims to address.,gemma3:4b,0,42,846,228,618,73.05,654,375,279,42.66,1500,603,897,59.8,53.133514,24.325398,28.808116,54.22,51.085531,22.274263,56.4,True,True,True,True
P0085,5.5,research_paper_summarization,Extract the limitations acknowledged in a study.,gemma3:4b,0,42,794,187,607,76.45,1054,194,860,81.59,1848,381,1467,79.38,74.567288,15.605535,58.961753,79.07,72.489032,13.564699,81.29,True,True,True,True
P0086,5.6,research_paper_summarization,Compare the methods of two papers on the same problem.,gemma3:4b,0,42,1117,410,707,63.29,978,688,290,29.65,2095,1098,997,47.59,74.958525,48.801895,26.15663,34.89,72.913127,46.765724,35.86,True,True,True,True
P0087,5.7,research_paper_summarization,Write a short critical appraisal paragraph of a study.,gemma3:4b,0,42,788,274,514,65.23,248,271,-23,-9.27,1036,545,491,47.39,22.824319,18.500823,4.323496,18.94,20.776465,16.45508,20.8,True,False,True,True
P0088,5.8,research_paper_summarization,Extract dataset and evaluation metric details from a paper.,gemma3:4b,0,42,856,331,525,61.33,633,414,219,34.6,1489,745,744,49.97,44.974027,26.794347,18.17968,40.42,42.927444,24.766172,42.31,True,True,True,True
P0089,5.9,research_paper_summarization,Turn a paper's conclusion into presentation bullet points.,gemma3:4b,0,42,712,117,595,83.57,168,90,78,46.43,880,207,673,76.48,17.726202,7.686756,10.039446,56.64,15.659347,5.65143,63.91,True,True,True,True
P0090,5.10,research_paper_summarization,Write an annotated bibliography entry in APA style.,gemma3:4b,0,42,794,252,542,68.26,297,291,6,2.02,1091,543,548,50.23,25.196179,19.281763,5.914416,23.47,23.142189,17.2176,25.6,True,True,True,True
P0091,5.11,research_paper_summarization,Explain what a results table in a paper shows.,gemma3:4b,0,42,861,314,547,63.53,637,607,30,4.71,1498,921,577,38.52,45.221021,36.759007,8.462014,18.71,43.165822,34.717189,19.57,True,True,True,True
P0092,5.12,research_paper_summarization,Extract the research questions and hypotheses from a paper.,gemma3:4b,0,42,900,269,631,70.11,235,132,103,43.83,1135,401,734,64.67,22.808772,11.140694,11.668078,51.16,20.752188,9.077158,56.26,True,True,True,True
P0093,5.13,research_paper_summarization,Group a related work section into themes.,gemma3:4b,0,42,868,248,620,71.43,245,241,4,1.63,1113,489,624,56.06,23.081493,16.563649,6.517844,28.24,21.003471,14.518184,30.88,True,True,True,True
P0094,5.14,research_paper_summarization,Paraphrase a passage to avoid plagiarism while keeping the citation.,gemma3:4b,0,42,704,182,522,74.15,582,133,449,77.15,1286,315,971,75.51,40.829819,10.431427,30.398392,74.45,38.777917,8.387234,78.37,True,True,True,True
P0095,5.15,research_paper_summarization,Build a glossary of key terms used in a paper.,gemma3:4b,0,42,746,225,521,69.84,492,220,272,55.28,1238,445,793,64.05,35.542053,15.306971,20.235082,56.93,33.488096,13.25992,60.4,True,True,True,True
P0096,5.16,research_paper_summarization,Write a synthesis paragraph across three papers.,gemma3:4b,0,42,1145,396,749,65.41,326,263,63,19.33,1471,659,812,55.2,31.181466,19.151235,12.030231,38.58,29.123556,17.076121,41.37,True,True,True,True
P0097,5.17,research_paper_summarization,Identify the statistical tests used and what they tested.,gemma3:4b,0,42,830,361,469,56.51,813,402,411,50.55,1643,763,880,53.56,55.523726,26.315849,29.207877,52.6,53.45488,24.273108,54.59,True,True,True,True
P0098,5.18,research_paper_summarization,Convert a paper's findings into a slide with speaker notes.,gemma3:4b,0,42,709,210,499,70.38,345,435,-90,-26.09,1054,645,409,38.8,27.428283,26.557722,0.870561,3.17,25.372488,24.520762,3.36,True,False,True,True
P0099,5.19,research_paper_summarization,Assess whether a paper is relevant to a stated dissertation topic.,gemma3:4b,0,42,669,189,480,71.75,536,256,280,52.24,1205,445,760,63.07,37.074912,16.937678,20.137234,54.31,35.028704,14.879617,57.52,True,True,True,True
P0100,5.20,research_paper_summarization,Extract future work directions suggested by a paper.,gemma3:4b,0,42,756,174,582,76.98,759,184,575,75.76,1515,358,1157,76.37,50.8568,13.085613,37.771187,74.27,48.788485,11.021458,77.41,True,True,True,True
