prompt_id,source_pair_id,category,task,baseline_prompt,optimized_prompt,modified,cleaning_notes,context_required,context_requirement,experiment_ready,baseline_context_file,optimized_context_file,context_source,context_status
P0023,2.3,exam_preparation,Create step-by-step mathematical derivation problems for an Algorithms exam.,I need to practice mathematical proofs and time complexity derivations for my university Data Structures and Algorithms final exam. Can you give me 1 practice problem where I have to solve recurrences using the Master Theorem? Please state the problem clearly and then provide a step-by-step mathematical solution for each so I can double-check my steps.,"For an Algorithms exam, create 1 recurrence relation practice problem solved via the Master Theorem. Provide:
Explicit recurrence equation T(n).
Step-by-step mathematical solution derivation.
Final Big-O time complexity bound.",False,,False,,True,,,none,not_required
P0024,2.4,exam_preparation,Create scenario-based troubleshooting exam questions for a Computer Networks exam.,I have a Computer Networks exam coming up that includes practical scenario questions. Can you generate 2 realistic network troubleshooting scenarios involving IP routing and subnetting issues? Please describe the scenario problem and then give a structured bulleted solution explaining how to diagnose and resolve the network issue.,"For a Computer Networks exam, generate 2 scenario-based troubleshooting problems on IP routing and subnetting. Provide:
Problem scenario.
Step-by-step diagnosis procedure.
Solution and configuration fix.",False,,False,,True,,,none,not_required
P0025,2.5,exam_preparation,Generate study flashcard pairs for core concepts in an Object-Oriented Programming exam.,"I am revising key definitions and concepts for my university Object-Oriented Programming exam tomorrow. Can you create 3 flashcard style revision prompts covering OOP core concepts like Encapsulation, Polymorphism, and Abstraction? Please present them with a front question and a clear back answer so I can quickly test my memory.","For an Object-Oriented Programming exam revision, create 3 flashcard pairs covering Encapsulation, Polymorphism, and Abstraction. Each pair should contain:
1. A clear front-side conceptual question.
2. A concise back-side answer.",True,Matched the baseline's three named OOP concepts and removed the optimized-only sentence limit.,False,,True,,,none,not_required
P0026,2.6,exam_preparation,Generate numerical practice problems on paging and TLB for an Operating Systems exam.,"My university Operating Systems exam always has numerical questions on memory management and I struggle with them. Could you please create 3 numerical practice problems on paging that involve calculating the number of pages, the page table size, and the effective memory access time with a TLB? Please give the full working for each one so that I can follow how the answer was reached.","For an Operating Systems exam, generate 3 numerical paging problems covering page count, page table size, and effective memory access time with a TLB. Each problem must include:
Stated parameters and units.
Full step-by-step working.
Final numerical answer.",False,,False,,True,,,none,not_required
P0027,2.7,exam_preparation,Produce a past-paper style long question with a marking scheme for a DBMS exam.,"I want to practise answering the long questions that come at the end of my university Database Management Systems exam paper. Can you please write one 10-mark question on transaction concurrency control, and then also give me the marking scheme showing how the 10 marks would be split across the different parts of a good answer? That way I can see what the examiner is actually looking for.","For a university DBMS exam, produce one 10-mark long question on transaction concurrency control with its marking scheme. Ensure the output includes:
1. The exam question with clearly divided parts.
2. A mark allocation breakdown totalling 10 marks.
3. The key points expected for the allocated marks.",True,Reworded 'mark band' to match the baseline's requested marking scheme.,False,,True,,,none,not_required
P0028,2.8,exam_preparation,Create a one-page revision cheat sheet on the OSI model for a networks exam.,"I have a Computer Networks exam in two days and I want a single page of notes that I can revise from quickly on the morning of the exam. Could you please make me a condensed revision sheet on the OSI model? I would like each of the seven layers with its function, its protocol data unit, and one example protocol, laid out so it is fast to scan rather than written as long paragraphs.","For a Computer Networks exam, create a one-page scannable revision sheet on the OSI model. Ensure the output includes:
All seven layers in order.
Function, protocol data unit and one example protocol per layer.
Table or list format, no prose paragraphs.",False,,False,,True,,,none,not_required
P0029,2.9,exam_preparation,Create memory aids and mnemonics for an anatomy exam.,I am preparing for my university Anatomy exam and I keep forgetting the order of the cranial nerves and the bones of the wrist. Could you please give me 3 memory aids or mnemonics that would help me remember these lists? For each one please show the mnemonic and then map each letter to the actual term so I can check I am recalling it correctly.,"For a university Anatomy exam, create 3 memory aids or mnemonics covering cranial nerve order and carpal bones. Each must include:
1. The mnemonic phrase.
2. A letter-by-letter mapping to the correct anatomical terms.",True,Removed the optimized-only 'when to use it' requirement.,False,,True,,,none,not_required
P0030,2.10,exam_preparation,Generate a true or false quiz with justifications for a software testing exam.,"I am revising for my university Software Testing exam and I would like to test whether I really understand the concepts or just recognise them. Can you please write 6 true or false statements about black box testing, white box testing and regression testing? For each statement please state whether it is true or false and give a one sentence justification explaining why.","For a Software Testing exam, generate a 6-item true/false quiz on black box, white box and regression testing. For each item provide:
The statement.
The correct true/false verdict.
A one-sentence justification.",False,,False,,True,,,none,not_required
P0031,2.11,exam_preparation,Build a timed mock test with time allocation for a data structures exam.,"My university Data Structures exam is 90 minutes long and I always run out of time, so I want to practise under timed conditions. Could you please build me a 90 minute mock test containing a mixture of short questions and one longer question on trees and graphs? Please suggest how many minutes I should spend on each question so that I can pace myself properly during the real exam.","For a Data Structures exam, build a 90-minute mock test on trees and graphs. Ensure the output includes:
1. A mix of short questions and one extended question.
2. Suggested minutes to spend on each question, totalling 90.",True,Removed the optimized-only marks-per-question requirement.,False,,True,,,none,not_required
P0032,2.12,exam_preparation,Create a quick-reference comparison sheet of commonly confused OS concepts.,"In my university Operating Systems exam I always mix up pairs of concepts that sound similar and lose marks for it. Could you please make me a quick reference sheet comparing four commonly confused pairs, such as process versus thread and paging versus segmentation? For each pair please give the key distinguishing point in one line so it is easy to memorise.","For an OS exam, create a quick-reference sheet comparing 4 commonly confused concept pairs, including process/thread and paging/segmentation. For each pair:
1. Label both terms.
2. State the key distinguishing point in one line.",True,Removed the optimized-only 'exam trap' requirement.,False,,True,,,none,not_required
P0033,2.13,exam_preparation,Create an error-spotting exercise on SQL queries for a database exam.,"My university Database exam includes questions where you have to find the mistake in a piece of SQL, and I want to practise that skill. Can you please write 4 short SQL queries that each contain one deliberate error involving things like GROUP BY, HAVING or JOIN conditions? For each query please then explain what the error is and give the corrected version.","For a Database exam, create a 4-item SQL error-spotting exercise covering GROUP BY, HAVING and JOIN mistakes. For each item provide:
The faulty query.
An explanation of the single error.
The corrected query.",False,,False,,True,,,none,not_required
P0034,2.14,exam_preparation,Generate diagram labelling questions for a computer architecture exam.,"I have a Computer Architecture exam where we get given diagrams and have to label the components and explain what they do. Could you please create 3 diagram based questions covering the CPU datapath, the memory hierarchy and the instruction cycle? Please describe the diagram in words, list the parts I would need to label, and then give the correct labels with a short function for each.","For a Computer Architecture exam, generate 3 diagram-labelling questions covering the CPU datapath, memory hierarchy and instruction cycle. Each question must include:
A written description of the diagram.
The list of components to be labelled.
Correct labels with a one-line function each.",False,,False,,True,,,none,not_required
P0035,2.15,exam_preparation,Build a seven-day spaced revision timetable for a final exam.,I have my university Machine Learning final exam in one week and there are six major topics on the syllabus that I need to cover. Could you please build me a seven day revision timetable that uses spaced repetition so that I revisit each topic more than once rather than studying each one only on a single day? Please show what I should do on each day and roughly how long each session should be.,"For a Machine Learning final exam in seven days covering six syllabus topics, build a spaced-repetition revision timetable. Ensure the output includes:
A day-by-day schedule for all seven days.
Each topic revisited at least twice on non-consecutive days.
Session duration for each block.",False,,False,,True,,,none,not_required
P0036,2.16,exam_preparation,Generate viva voce practice questions for a final year project defence.,"I have to defend my final year project in a viva at university next week and I am nervous about the questions the panel might ask. My project was a machine learning model for predicting student dropout. Could you please give me 6 likely viva questions and a suggested way to answer each one? Please include some difficult questions about limitations, because those are the ones I am most worried about.","For a final year project viva on a machine learning student-dropout prediction model, generate 6 likely examiner questions with concise suggested answers. Include challenging questions about project limitations.",True,"Removed the optimized-only forced 2/2/2 distribution across methodology, results, and limitations.",False,,True,,,none,not_required
P0037,2.17,exam_preparation,Produce an annotated formula sheet for a statistics exam.,"My university Statistics exam allows one formula sheet, but I find that just having the formulas is not enough because I forget when to use each one. Could you please make me a formula sheet covering hypothesis testing that lists each formula and then adds a short note saying when it should be applied and what the symbols mean? Please cover the main tests we would be expected to know.","For a university Statistics exam, produce an annotated hypothesis-testing formula sheet. For each formula include:
The formula itself.
Definition of each symbol.
A one-line note on when to apply it.",False,,False,,True,,,none,not_required
P0038,2.18,exam_preparation,Provide a fully worked subnetting example for a networking exam.,"I can never follow the subnetting questions in my university Networking exam because the worked examples in my notes skip steps. Could you please take one address such as 192.168.10.0/24 that needs to be divided into 6 usable subnets, and work through it completely? Please show every step including the borrowed bits, the new mask, and the address range for each subnet.","For a Networking exam, fully work through dividing 192.168.10.0/24 into 6 usable subnets. Show:
Borrowed bits and the calculation.
Subnet mask in dotted decimal and CIDR.
Network, first host, last host and broadcast per subnet.",False,,False,,True,,,none,not_required
P0039,2.19,exam_preparation,List common exam mistakes and how to avoid them for a thermodynamics exam.,"I keep losing marks in my university Thermodynamics exam even when I understand the topic, and I think I am making the same errors repeatedly. Could you please list 6 of the most common mistakes students make in thermodynamics exam questions, for example with sign conventions or units? For each mistake please explain why it happens and give me a check I can do to avoid it.","For a university Thermodynamics exam, list 6 common student mistakes, including sign convention and unit errors. For each mistake provide:
A description of the error.
Why it commonly occurs.
A specific check to prevent it.",False,,False,,True,,,none,not_required
P0040,2.20,exam_preparation,Create practice coding exam questions with test cases for a programming exam.,"My university Programming exam is done on a computer and the answers are checked automatically against test cases, so I want to practise in the same way. Could you please write 3 practice coding questions of increasing difficulty on string and array manipulation? For each one please give the problem statement, the expected input and output format, and three test cases including one edge case.","For a computer-based Programming exam, create 3 coding questions of increasing difficulty on string and array manipulation. Each question must include:
A precise problem statement.
Input and output format specification.
Three test cases, one of which is an edge case.",False,,False,,True,,,none,not_required
P0041,3.1,programming_help,Debug a Python function that raises an IndexError inside a loop.,"I am doing a lab exercise for my university Python programming class and my function keeps crashing with an IndexError when I run it. The function is supposed to compare each element of a list with the next one, but it fails on the last iteration. Could you please explain why this happens and show me the corrected function? Please also add a short comment in the code so I understand the fix when I revise later.","Debug a Python function that raises IndexError while comparing each list element with the following element on the final iteration. Ensure the output includes:
Explanation of the root cause.
The corrected function.
An inline comment marking the fix.",False,,False,,True,,,none,not_required
P0042,3.2,programming_help,Fix a JavaScript function that returns undefined because of an unawaited promise.,I am building a small web project for my university Web Development module and one of my JavaScript functions keeps returning undefined instead of the data I fetched from the API. I think it has something to do with promises but I am not sure what I have done wrong. Can you please explain what the problem is and give me a corrected version of the function using async and await?,"Fix a JavaScript function that returns undefined because the fetched promise is never awaited. Ensure the output includes:
1. Explanation of why undefined is returned.
2. A corrected version using async/await.",True,Removed the optimized-only rejected-promise handling requirement.,False,,True,,,none,not_required
P0043,3.3,programming_help,Write a SQL query joining three tables with aggregation.,"For my university Database lab I have three tables called students, enrolments and courses, and I need to produce a report. Could you please write me a SQL query that lists each student's name together with the number of courses they are enrolled in, but only includes students who are taking more than two courses? Please also explain briefly how the joins and the grouping work so I can answer questions about it in my lab viva.","Write a SQL query over students, enrolments and courses tables returning each student name with their enrolled course count, restricted to students enrolled in more than two courses. Ensure the output includes:
1. The complete query.
2. Correct use of JOIN, GROUP BY and HAVING.
3. A brief explanation of the joins and grouping logic.",True,Removed the optimized-only two-sentence explanation limit.,False,,True,,,none,not_required
P0044,3.4,programming_help,Refactor a long function into smaller single-responsibility functions.,"My lecturer gave me feedback on my university Software Engineering project saying that one of my Python functions is far too long and does too many things at once. The function reads a CSV file, cleans the data, calculates statistics and then prints a report all in one place. Could you please show me how to refactor it into smaller functions, and explain the reasoning behind how you split it up?","Refactor a single Python function that reads a CSV, cleans data, computes statistics and prints a report into separate single-responsibility functions. Ensure the output includes:
1. The refactored functions.
2. A coordinating main function.
3. A brief rationale for how the responsibilities were split.",True,Removed the optimized-only type-hint requirement.,False,,True,,,none,not_required
P0045,3.5,programming_help,Write unit tests for a given Python function.,"I have to submit unit tests along with my code for my university Software Testing coursework, but I have never written tests before. I have a function that calculates the final grade from a list of assessment marks and weights. Could you please write unit tests for it using pytest? Please include a normal case, an edge case and a case where the input is invalid, so that I cover the different situations the marking scheme mentions.","Write pytest unit tests for a Python function that calculates a weighted final grade from marks and weights. Ensure the output includes:
One typical-case test.
One edge-case test.
One invalid-input test asserting the raised exception.",False,,False,,True,,,none,not_required
P0046,3.6,programming_help,Fix a React component that re-renders infinitely.,"I am working on the frontend of my university group project and my React page freezes the browser because it keeps re-rendering over and over. I have a useEffect hook that updates a state variable, and I think that is what causes the loop, but I do not understand why. Could you please explain what causes the infinite re-render and show me the corrected hook?","Fix a React useEffect hook that causes an infinite re-render loop by updating state without a correct dependency array. Ensure the output includes:
1. Explanation of the render-loop mechanism.
2. The corrected hook with an appropriate dependency array.",True,Removed the optimized-only note about when an empty dependency array is appropriate.,False,,True,,,none,not_required
P0047,3.7,programming_help,Implement binary search handling edge cases correctly.,"I am practising coding problems for my university Algorithms lab and my binary search implementation sometimes goes into an infinite loop when the target value is not in the array. Could you please write a correct iterative binary search in Python for me, and point out the specific parts where implementations usually go wrong such as the loop condition and how the midpoint is calculated?","Implement an iterative binary search in Python that terminates correctly when the target is absent. Ensure the output includes:
The complete function.
Correct loop condition and midpoint calculation.
A note on the two most common off-by-one errors.",False,,False,,True,,,none,not_required
P0048,3.8,programming_help,Replace a slow Python loop with vectorised pandas operations.,I am analysing a dataset for my university Data Analytics assignment and my code takes several minutes to run because I loop through every row of the dataframe to calculate a new column. Could you please show me how to rewrite this using pandas operations instead of a loop? Please also explain briefly why the vectorised version is faster so I can mention it in my report.,"Rewrite a row-by-row pandas loop that derives a new column into a vectorised operation. Ensure the output includes:
1. The vectorised replacement code.
2. A brief explanation of why it is faster.",True,Removed the optimized-only missing-value requirement.,False,,True,,,none,not_required
P0049,3.9,programming_help,Write a Flask REST endpoint returning JSON with error handling.,"For my university Web Technologies project I need to build a small API and I am using Flask for the first time. Could you please write me an endpoint that accepts a student id in the URL and returns that student's record as JSON? Please make sure it returns a proper 404 response if the student does not exist, because my lecturer said error handling is part of the marks.","Write a Flask GET endpoint /students/<id> that returns a student record as JSON. Ensure the output includes:
1. The route function with correct decorator.
2. The JSON record when the student exists.
3. A 404 response when the id does not exist.",True,Removed the unnecessary explicit 200-status requirement not stated in the baseline.,False,,True,,,none,not_required
P0050,3.10,programming_help,Explain and correct a faulty regular expression for email validation.,"I wrote a regular expression to validate email addresses in my university Python project, but it accepts some obviously invalid addresses and rejects some valid ones. I do not really understand what each part of my pattern is doing. Could you please explain the pattern piece by piece and then give me a more reliable version with an explanation of what changed?","Explain and correct a faulty email-validation regular expression in Python. Ensure the output includes:
A component-by-component breakdown of the original pattern.
A corrected pattern.
Two example strings it now handles correctly.",False,,True,Provide the original faulty regular expression and a small set of valid/invalid example addresses.,True,contexts/P0050_shared_input.txt,contexts/P0050_shared_input.txt,researcher-created controlled input,ready
P0051,3.11,programming_help,Resolve a Git merge conflict step by step.,"I am working with two classmates on our university group project and when I tried to merge my branch into main, Git reported a conflict in one of our files. I have never dealt with this before and I am worried about losing my teammate's work. Could you please give me the exact steps to inspect the conflict, resolve it safely, and finish the merge?","Give the exact command sequence to resolve a Git merge conflict in a single file and complete the merge. Ensure the output includes:
Commands to inspect the conflicting file.
Explanation of the conflict marker syntax.
Commands to stage the resolution and complete the merge.",False,,False,,True,,,none,not_required
P0052,3.12,programming_help,Write a Dockerfile for a Python application.,"My university Cloud Computing coursework requires me to containerise my Python application and I have never written a Dockerfile before. My app has a requirements file and it runs from a file called app.py on port 5000. Could you please write a Dockerfile for it and explain what each instruction does, since I have to justify my choices in the report?","Write a Dockerfile for a Python application with requirements.txt, entry point app.py, and port 5000. Ensure the output includes:
1. The complete Dockerfile.
2. A brief explanation of what each instruction does.",True,Removed the optimized-only layer-caching requirement.,False,,True,,,none,not_required
